DATE,XAUUSD
2022-11-24,1755.79
2022-11-25,1753.555
2022-11-28,1741.785
2022-11-29,1749.575
2022-11-30,1768.235
2022-12-01,1803.04
2022-12-02,1797.75
2022-12-05,1768.825
2022-12-06,1771.005
2022-12-07,1786.145
2022-12-08,1789.095
2022-12-09,1797.46
2022-12-12,1781.41
2022-12-13,1810.77
2022-12-14,1807.44
2022-12-15,1776.875
2022-12-16,1793.155
2022-12-19,1787.715
2022-12-20,1817.89
2022-12-21,1814.64
2022-12-22,1792.63
2022-12-23,1798.425
2022-12-27,1813.91
2022-12-28,1804.3
2022-12-29,1814.985
2022-12-30,1823.79
2023-01-03,1839.7
2023-01-04,1854.65
2023-01-05,1832.7
2023-01-06,1866.11
2023-01-09,1871.705
2023-01-10,1876.99
2023-01-11,1875.965
2023-01-12,1896.785
2023-01-13,1920.315
2023-01-16,1916.01
2023-01-17,1908.71
2023-01-18,1904.51
2023-01-19,1932.26
2023-01-20,1926.06
2023-01-23,1931.34
2023-01-24,1937.315
2023-01-25,1946.325
2023-01-26,1929.215
2023-01-27,1927.73
2023-01-30,1923.2
2023-01-31,1928.235
2023-02-01,1950.145
2023-02-02,1912.69
2023-02-03,1865.695
2023-02-06,1867.695
2023-02-07,1871.885
2023-02-08,1875.55
2023-02-09,1861.78
2023-02-10,1865.35
2023-02-13,1853.74
2023-02-14,1854.435
2023-02-15,1836.005
2023-02-16,1836.52
2023-02-17,1842.565
2023-02-20,1843.76
2023-02-21,1834.915
2023-02-22,1825.305
2023-02-23,1822.3
2023-02-24,1810.985
2023-02-27,1817.25
2023-02-28,1826.67
2023-03-01,1836.65
2023-03-02,1835.94
2023-03-03,1855.435
2023-03-06,1846.88
2023-03-07,1813.34
2023-03-08,1813.83
2023-03-09,1830.915
2023-03-10,1867.035
2023-03-13,1913.63
2023-03-14,1903.865
2023-03-15,1918.73
2023-03-16,1919.34
2023-03-17,1988.305
2023-03-20,1978.975
2023-03-21,1940.52
2023-03-22,1970.015
2023-03-23,1993.495
2023-03-24,1978.965
2023-03-27,1956.45
2023-03-28,1974.035
2023-03-29,1964.505
2023-03-30,1980.425
2023-03-31,1969.31
2023-04-03,1984.385
2023-04-04,2020.456
2023-04-05,2020.65
2023-04-06,2007.86
2023-04-10,1991.195
2023-04-11,2003.64
2023-04-12,2014.95
2023-04-13,2040.46
2023-04-14,2004.275
2023-04-17,1995.05
2023-04-18,2005.075
2023-04-19,1994.75
2023-04-20,2004.605
2023-04-21,1983.09
2023-04-24,1989.05
2023-04-25,1997.04
2023-04-26,1989.29
2023-04-27,1987.8
2023-04-28,1989.535
2023-05-01,1982.57
2023-05-02,2016.67
2023-05-03,2039.58
2023-05-04,2050.32
2023-05-05,2016.79
2023-05-08,2021.355
2023-05-09,2034.535
2023-05-10,2029.74
2023-05-11,2015.03
2023-05-12,2011.025
2023-05-15,2016.365
2023-05-16,1988.885
2023-05-17,1982.01
2023-05-18,1957.63
2023-05-19,1977.895
2023-05-22,1971.764
2023-05-23,1975.115
2023-05-24,1957.225
2023-05-25,1940.595
2023-05-26,1946.93
2023-05-29,1943.12
2023-05-30,1959.48
2023-05-31,1962.615
2023-06-01,1977.54
2023-06-02,1948.1
2023-06-05,1961.7
2023-06-06,1963.375
2023-06-07,1940.01
2023-06-08,1965.47
2023-06-09,1960.745
2023-06-12,1957.605
2023-06-13,1943.6
2023-06-14,1941.255
2023-06-15,1958.005
2023-06-16,1957.555
2023-06-19,1950.42
2023-06-20,1936.255
2023-06-21,1932.51
2023-06-22,1913.835
2023-06-23,1921.24
2023-06-26,1923.145
2023-06-27,1913.68
2023-06-28,1907.535
2023-06-29,1908.065
2023-06-30,1919.525
2023-07-03,1921.525
2023-07-04,1925.875
2023-07-05,1915.12
2023-07-06,1910.975
2023-07-07,1925.565
2023-07-10,1925.44
2023-07-11,1932.545
2023-07-12,1957.555
2023-07-13,1960.64
2023-07-14,1955.435
2023-07-17,1954.98
2023-07-18,1978.92
2023-07-19,1977.16
2023-07-20,1969.55
2023-07-21,1961.95
2023-07-24,1954.715
2023-07-25,1964.745
2023-07-26,1972.24
2023-07-27,1945.15
2023-07-28,1959.34
2023-07-31,1965.44
2023-08-01,1944.2
2023-08-02,1934.71
2023-08-03,1934.225
2023-08-04,1942.655
2023-08-07,1936.585
2023-08-08,1925.175
2023-08-09,1914.95
2023-08-10,1912.42
2023-08-11,1913.875
2023-08-14,1907.505
2023-08-15,1901.79
2023-08-16,1892.09
2023-08-17,1889.25
2023-08-18,1889.545
2023-08-21,1894.895
2023-08-22,1897.675
2023-08-23,1915.41
2023-08-24,1916.79
2023-08-25,1914.425
2023-08-28,1920.19
