DATE,USDBDT
2010-01-04,67.49800109863281
2010-01-05,68.01899719238281
2010-01-06,67.99600219726562
2010-01-07,67.59100341796875
2010-01-08,68.02200317382812
2010-01-11,67.9990005493164
2010-01-12,67.99099731445312
2010-01-13,67.94999694824219
2010-01-14,68.03099822998047
2010-01-15,68.00800323486328
2010-01-18,67.59700012207031
2010-01-19,67.96700286865234
2010-01-20,67.91600036621094
2010-01-21,67.84100341796875
2010-01-22,67.58699798583984
2010-01-25,67.8280029296875
2010-01-26,68.01499938964844
2010-01-27,67.86000061035156
2010-01-28,67.85900115966797
2010-01-29,67.7030029296875
2010-02-01,67.69499969482422
2010-02-02,67.93800354003906
2010-02-03,67.98999786376953
2010-02-04,67.94200134277344
2010-02-05,67.65299987792969
2010-02-08,67.92500305175781
2010-02-09,67.93199920654297
2010-02-10,67.9469985961914
2010-02-11,67.83100128173828
2010-02-12,67.79000091552734
2010-02-15,67.9209976196289
2010-02-16,67.89900207519531
2010-02-17,67.96199798583984
2010-02-18,67.90299987792969
2010-02-19,67.74800109863281
2010-02-22,67.96700286865234
2010-02-23,67.93199920654297
2010-02-24,67.927001953125
2010-02-25,67.88899993896484
2010-02-26,67.74299621582031
2010-03-01,67.96600341796875
2010-03-02,67.88300323486328
2010-03-03,67.82099914550781
2010-03-04,67.79399871826172
2010-03-05,67.83799743652344
2010-03-08,67.9489974975586
2010-03-09,67.79100036621094
2010-03-10,68.02100372314453
2010-03-11,67.89800262451172
2010-03-12,68.05599975585938
2010-03-15,67.82599639892578
2010-03-16,67.8030014038086
2010-03-17,67.82599639892578
2010-03-18,67.9229965209961
2010-03-19,67.96600341796875
2010-03-22,67.91100311279297
2010-03-23,67.9020004272461
2010-03-24,68.04000091552734
2010-03-25,67.92900085449219
2010-03-26,68.03099822998047
2010-03-29,67.87699890136719
2010-03-30,67.89700317382812
2010-03-31,67.89299774169922
2010-04-01,67.95700073242188
2010-04-02,67.64800262451172
2010-04-05,67.98400115966797
2010-04-06,67.87300109863281
2010-04-07,67.90699768066406
2010-04-08,67.90799713134766
2010-04-09,67.71499633789062
2010-04-12,67.99099731445312
2010-04-13,67.83399963378906
2010-04-14,67.73500061035156
2010-04-15,67.875
2010-04-16,67.88999938964844
2010-04-19,67.88800048828125
2010-04-20,67.88500213623047
2010-04-21,67.94100189208984
2010-04-22,67.88500213623047
2010-04-23,67.88500213623047
2010-04-26,67.94400024414062
2010-04-27,67.88500213623047
2010-04-28,67.89800262451172
2010-04-29,67.91899871826172
2010-04-30,67.72100067138672
2010-05-03,67.91999816894531
2010-05-04,67.86799621582031
2010-05-05,67.96900177001953
2010-05-06,67.91400146484375
2010-05-07,67.88300323486328
2010-05-10,67.92400360107422
2010-05-11,67.81199645996094
2010-05-12,67.79100036621094
2010-05-13,67.91500091552734
2010-05-14,67.88200378417969
2010-05-17,67.52100372314453
2010-05-18,67.81500244140625
2010-05-19,67.06099700927734
2010-05-20,67.76100158691406
2010-05-21,67.87100219726562
2010-05-24,67.83899688720703
2010-05-25,67.802001953125
2010-05-26,67.86699676513672
2010-05-27,68.00900268554688
2010-05-28,67.6729965209961
2010-05-31,67.86100006103516
2010-06-01,67.7229995727539
2010-06-02,67.78399658203125
2010-06-03,67.93000030517578
2010-06-04,68.36599731445312
2010-06-07,67.8270034790039
2010-06-08,67.78299713134766
2010-06-09,67.71900177001953
2010-06-10,67.77100372314453
2010-06-11,67.88500213623047
2010-06-14,67.875
2010-06-15,67.6719970703125
2010-06-16,67.73400115966797
2010-06-17,67.77100372314453
2010-06-18,67.9219970703125
2010-06-21,68.09300231933594
2010-06-22,67.91200256347656
2010-06-23,67.93099975585938
2010-06-24,67.77799987792969
2010-06-25,68.05999755859375
2010-06-28,67.7750015258789
2010-06-29,67.9739990234375
2010-06-30,68.0510025024414
2010-07-01,67.81199645996094
2010-07-02,67.8949966430664
2010-07-05,68.00299835205078
2010-07-06,68.02400207519531
2010-07-07,68.00299835205078
2010-07-08,67.99299621582031
2010-07-09,68.08999633789062
2010-07-12,68.00599670410156
2010-07-13,68.15399932861328
2010-07-14,67.98400115966797
2010-07-15,67.99500274658203
2010-07-16,68.03600311279297
2010-07-19,68.00700378417969
2010-07-20,67.99299621582031
2010-07-21,68.00599670410156
2010-07-22,68.03800201416016
2010-07-23,68.15499877929688
2010-07-26,68.02999877929688
2010-07-27,68.1240005493164
2010-07-28,68.11100006103516
2010-07-29,68.06999969482422
2010-07-30,68.14900207519531
2010-08-02,68.0510025024414
2010-08-03,68.04000091552734
2010-08-04,68.04000091552734
2010-08-05,68.0719985961914
2010-08-06,68.05999755859375
2010-08-09,67.51399993896484
2010-08-10,68.1449966430664
2010-08-11,68.05699920654297
2010-08-12,68.0510025024414
2010-08-13,67.99500274658203
2010-08-16,68.30799865722656
2010-08-17,68.03600311279297
2010-08-18,68.1449966430664
2010-08-19,68.11900329589844
2010-08-20,68.0979995727539
2010-08-23,67.63999938964844
2010-08-24,68.18699645996094
2010-08-25,68.13800048828125
2010-08-26,68.18099975585938
2010-08-27,68.27999877929688
2010-08-30,67.97899627685547
2010-08-31,68.15699768066406
2010-09-01,68.00800323486328
2010-09-02,68.12100219726562
2010-09-03,68.12000274658203
2010-09-06,68.07499694824219
2010-09-07,68.04000091552734
2010-09-08,68.13200378417969
2010-09-09,68.00299835205078
2010-09-10,68.1709976196289
2010-09-13,68.0250015258789
2010-09-14,68.18800354003906
2010-09-15,68.20099639892578
2010-09-16,68.15899658203125
2010-09-17,68.25199890136719
2010-09-20,68.62000274658203
